name,id,url,source,download_format,sf_compatible,browser_compatible,spatial_filtering,temporal_filtering,NEW_PROVIDER,NEW_PROVIDER_TYPE,provider_name,provider_type,environment,spatial_filtering_clean,temporal_filtering_clean,sf_compatible_clean,Cefas_holding_id_name,Cefas_holding_ID,Second level,Third Level,Fourth Level,Unnamed: 22,spatial_filter_type,epsg_code
BGS Geology 625k Bedrock,bgs_625k_bedrock,"https://ogcapi.bgs.ac.uk/collections/bgsgeology625kbedrock/items?f=json&bbox={xmin},{ymin},{xmax},{ymax}",https://www.bgs.ac.uk/datasets/bgs-geology-625k/,geojson,T,T,T,F,BGS,Research Organisation,BGS,Research Institution,Terrestrial,Yes,No,Yes,,,Geology,,,,A,4326
BGS Geology 625k Dykes,bgs_625k_dykes,"https://ogcapi.bgs.ac.uk/collections/bgsgeology625kdykes/items?f=json&bbox={xmin},{ymin},{xmax},{ymax}",https://www.bgs.ac.uk/datasets/bgs-geology-625k/,geojson,T,T,T,F,BGS,Research Organisation,BGS,Research Institution,Terrestrial,Yes,No,Yes,,,Geology,,,,A,4326
BGS Geology 625k Faults,bgs_625k_faults,"https://ogcapi.bgs.ac.uk/collections/bgsgeology625kfaults/items?f=json&bbox={xmin},{ymin},{xmax},{ymax}",https://www.bgs.ac.uk/datasets/bgs-geology-625k/,geojson,T,T,T,F,BGS,Research Organisation,BGS,Research Institution,Terrestrial,Yes,No,Yes,,,Geology,,,,A,4326
BGS Geology 625k Superficial,bgs_625k_superficial,"https://ogcapi.bgs.ac.uk/collections/bgsgeology625ksuperficial/items?f=json&bbox={xmin},{ymin},{xmax},{ymax}",https://www.bgs.ac.uk/datasets/bgs-geology-625k/,geojson,T,T,T,F,BGS,Research Organisation,BGS,Research Institution,Terrestrial,Yes,No,Yes,,,Geology,,,,A,4326
BGS Offshore 250k Backscatter Polygons & Data,bgs_offshore_backscatter,"https://ogcapi.bgs.ac.uk/collections/offshorebackscatterareas/items?f=json&bbox={xmin},{ymin},{xmax},{ymax}",https://ogcapi.bgs.ac.uk/collections/offshorebackscatterareas,geojson,T,T,T,F,BGS,Research Organisation,BGS,Research Institution,Coastal,Yes,No,Yes,,,Offshore,,,,A,4326
BGS Offshore 250k Bedrock Summary Lithologies,bgs_offshore_bedrock_lithologies,"https://ogcapi.bgs.ac.uk/collections/offshore-factor-map-bsl/items?f=json&bbox={xmin},{ymin},{xmax},{ymax}",https://ogcapi.bgs.ac.uk/collections/offshore-factor-map-bsl,geojson,T,T,T,F,BGS,Research Organisation,BGS,Research Institution,Coastal,Yes,No,Yes,,,Offshore,,,,A,4326
BGS Offshore 250k Core Sample Analysis Data,bgs_offshore_core_samples,"https://ogcapi.bgs.ac.uk/collections/offshore-core-sample-data/items?f=json&bbox={xmin},{ymin},{xmax},{ymax}",https://ogcapi.bgs.ac.uk/collections/offshore-core-sample-data,geojson,T,T,T,F,BGS,Research Organisation,BGS,Research Institution,Coastal,Yes,No,Yes,,,Offshore,,,,A,4326
BGS Offshore 250k Geophysical Data - Gravity,bgs_offshore_gravity,"https://ogcapi.bgs.ac.uk/collections/offshore-geophysical-data-gravity/items?f=json&bbox={xmin},{ymin},{xmax},{ymax}",https://ogcapi.bgs.ac.uk/collections/offshore-geophysical-data-gravity,geojson,T,T,T,F,BGS,Research Organisation,BGS,Research Institution,Coastal,Yes,No,Yes,,,Offshore,,,,A,4326
BGS Offshore 250k Geophysical Survey Lines,bgs_offshore_geophysical_lines,"https://ogcapi.bgs.ac.uk/collections/offshore-geophysical-survey-lines/items?f=json&bbox={xmin},{ymin},{xmax},{ymax}",https://ogcapi.bgs.ac.uk/collections/offshore-geophysical-survey-lines,geojson,T,T,T,F,BGS,Research Organisation,BGS,Research Institution,Coastal,Yes,No,Yes,,,Offshore,,,,A,4326
BGS Offshore 250k Geophysical Survey Shot Points,bgs_offshore_shotpoints,"https://ogcapi.bgs.ac.uk/collections/offshore-geophysical-survey-shot-points/items?f=json&bbox={xmin},{ymin},{xmax},{ymax}",https://ogcapi.bgs.ac.uk/collections/offshore-geophysical-survey-shot-points,geojson,T,T,T,F,BGS,Research Organisation,BGS,Research Institution,Coastal,Yes,No,Yes,,,Offshore,,,,A,4326
BGS Offshore 250k Geotechnical Data,bgs_offshore_geotechnical,"https://ogcapi.bgs.ac.uk/collections/offshore-sample-geotechnical-data/items?f=json&bbox={xmin},{ymin},{xmax},{ymax}",https://ogcapi.bgs.ac.uk/collections/offshore-sample-geotechnical-data,geojson,T,T,T,F,BGS,Research Organisation,BGS,Research Institution,Coastal,Yes,No,Yes,,,Offshore,,,,A,4326
BGS Offshore 250k Hydrocarbon Wells,bgs_offshore_hydrocarbon_wells,"https://ogcapi.bgs.ac.uk/collections/offshore-hydrocarbon-wells/items?f=json&bbox={xmin},{ymin},{xmax},{ymax}",https://ogcapi.bgs.ac.uk/collections/offshore-hydrocarbon-wells,geojson,T,T,T,F,BGS,Research Organisation,BGS,Research Institution,Coastal,Yes,No,Yes,,,Offshore,,,,A,4326
BGS Offshore 250k Oil & Gas Industry Site Surveys,bgs_offshore_oil_gas_surveys,"https://ogcapi.bgs.ac.uk/collections/offshore-oil-gas-site-surveys/items?f=json&bbox={xmin},{ymin},{xmax},{ymax}",https://ogcapi.bgs.ac.uk/collections/offshore-oil-gas-site-surveys,geojson,T,T,T,F,BGS,Research Organisation,BGS,Research Institution,Coastal,Yes,No,Yes,,,Offshore,,,,A,4326
BGS Offshore 250k Quaternary Deposits Summary Lithologies,bgs_offshore_quaternary,"https://ogcapi.bgs.ac.uk/collections/offshore-factor-map-qdsl/items?f=json&bbox={xmin},{ymin},{xmax},{ymax}",https://ogcapi.bgs.ac.uk/collections/offshore-factor-map-qdsl,geojson,T,T,T,F,BGS,Research Organisation,BGS,Research Institution,Coastal,Yes,No,Yes,,,Offshore,,,,A,4326
BGS Offshore 250k Sample Geochemical Data,bgs_offshore_geochemical,"https://ogcapi.bgs.ac.uk/collections/offshore-sample-geochemical-data/items?f=json&bbox={xmin},{ymin},{xmax},{ymax}",https://ogcapi.bgs.ac.uk/collections/offshore-sample-geochemical-data,geojson,T,T,T,F,BGS,Research Organisation,BGS,Research Institution,Coastal,Yes,No,Yes,,,Offshore,,,,A,4326
